IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
30801-4130;SUCESSO;0;27;1;0;4;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;2;0;2;3;0;1;7;2;1;0;0;0;0;0;0;3;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;1;3;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;15;0;1;0;0;2;0;0;0;0;0;0;0;0;7;0;1;2;3;0;0;0;0;0;0;0;0;12;1;0;4;0;0;0;0;0;0
30806-4604;SUCESSO;1;31;1;0;2;0;0;0;0;0;1;0;0;12;0;9;0;4;3;3;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;4;2;0;1;1;1;0;0;0;0;0;8;1;0;0;1;1;0;0;0;0;0;0;3;0;1;0;0;0;21;2;1;0;0;0;0;0;3;10;0;3;6;0;4;3;2;1;0;0;2;0;0;0;0;1;2;22;0;0;0;15;0;6;4;3;2;2;1;0;0;1;0;1;0;2;1;1;0;0;0;0;3;22;0;1;1;0;5;0;0;2;0;0;0;0;1;6;2;0;2;4;1;2;1;2;1;1;12;10;0;0;0;10;1;0;9;9;0;0
30811-4605;insucesso;0;13;2;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;1;1;1;0;0;0;0;0;9;0;0;0;0;2;0;0;0;1;1;0;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;0;0;0;0;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
30821-4605;SUCESSO;1;54;20;1;9;2;5;0;1;0;0;2;1;8;0;5;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;1;0;2;2;3;2;0;1;1;0;0;0;0;0;0;19;5;1;1;1;8;0;0;0;1;0;0;2;0;0;4;0;3;12;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;2;0;0;8;0;1;0;0;0;0;0;0;0;1;0;4;2;0;0;0;0;0;0;0;0;26;0;2;0;0;3;0;0;0;0;0;0;0;1;3;0;0;0;0;0;3;2;2;2;0;3;3;15;8;3;6;1;0;3;3;1;2
30876-4604;insucesso;0;27;2;0;2;0;1;1;0;0;0;0;0;14;0;8;0;4;1;0;0;0;0;1;1;0;0;0;6;2;0;0;0;0;0;2;1;1;1;1;1;1;1;0;0;0;8;0;0;0;0;3;2;0;0;3;2;0;0;0;0;1;0;1;23;1;0;0;0;0;1;1;1;12;0;0;3;0;0;0;0;0;0;1;0;2;2;0;0;2;1;26;0;0;3;17;1;9;3;0;0;0;0;1;1;0;0;2;0;1;0;4;2;0;0;0;0;12;0;2;4;2;2;0;1;2;0;0;0;1;0;7;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;3;0;0;1;1;0;0
30879-4604;SUCESSO;0;8;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;0;2;0;0;1;0;0;4;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0
30887-4604;insucesso;1;11;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;7;2;1;0;1;2;0;0;0;1;1;1;0;0;0;0;0;0;5;1;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;6;0;0;1;1;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
30907-4604;insucesso;0;17;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;2;0;1;1;1;0;0;1;0;1;0;0;0;0;0;12;1;0;0;4;0;3;2;1;1;0;0;0;0;0;0;1;0;1;0;0;0;2;2;2;0;9;0;1;1;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;1;1;0;0
30907-5388;SUCESSO;0;11;0;0;1;0;1;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;0;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30966-5388;insucesso;0;19;0;0;6;3;1;0;1;1;0;3;3;5;1;4;1;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;3;0;0;1;1;1;2;2;2;0;0;10;5;1;0;1;2;0;0;0;1;1;0;0;0;0;5;1;3;9;4;2;0;0;1;1;1;0;4;1;0;3;0;2;2;0;0;0;2;0;4;4;0;1;0;0;10;2;1;0;8;1;4;3;2;2;0;0;3;3;0;0;0;0;0;0;0;0;1;1;1;0;6;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;3;2;3;0;0;1;1;0;0;0;4;2;0;1;1;0;0
30983-4604;SUCESSO;1;31;1;0;4;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;0;0;0;0;0;0;8;0;3;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;8;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;13;2;0;0;0;0;0;0;2;4;0;1;2;0;1;0;0;0;0;0;1;0;0;0;0;1;1;16;1;0;0;6;1;3;1;1;0;0;0;0;0;1;0;0;0;1;0;4;0;1;0;0;0;25;2;0;6;2;8;0;0;1;0;0;0;0;1;5;1;1;3;0;0;0;0;0;0;0;0;0;10;3;1;2;0;0;0;0;1;0
30989-4604;SUCESSO;1;28;2;0;7;3;0;0;0;0;0;0;0;5;1;3;1;0;0;0;0;2;1;0;0;0;0;0;10;1;2;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;11;5;2;1;2;0;0;0;0;0;0;0;0;0;0;3;0;2;6;5;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;9;4;1;0;6;5;0;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0;0;1;12;0;3;2;1;3;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
30990-4604;SUCESSO;1;33;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;1;1;0;0;2;0;0;1;1;1;0;0;0;0;0;10;3;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;8;2;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;10;2;0;0;3;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;33;0;1;1;0;5;0;0;3;2;0;0;0;1;2;0;0;1;1;1;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;2;1
30991-5468;SUCESSO;0;16;0;0;2;0;0;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;5;3;0;0;0;0;0;1;0;0;1;1;1;6;5;1;1;0;8;0;0;0;0;0;0;0;0;3;2;1;0;0;0;1;0;0;19;2;0;0;0;2;1;1;0;6;0;0;1;0;1;0;0;0;0;1;0;2;2;1;0;0;0;10;0;0;0;7;1;3;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;13;0;4;2;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0
31001-4130;SUCESSO;0;25;1;0;7;1;0;0;2;2;1;0;0;5;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;12;1;0;1;0;0;0;0;0;2;2;1;1;0;0;0;0;0;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;15;1;0;0;7;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;17;0;3;1;0;3;0;0;1;1;0;0;0;0;10;0;0;0;5;3;4;3;1;1;0;0;0;9;0;0;2;0;1;0;0;1;0
31005-5468;insucesso;0;24;0;0;2;0;0;0;0;0;1;0;0;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;6;4;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;1;0;0;6;3;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;14;2;0;3;3;5;0;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;1;0
31068-7118;SUCESSO;0;21;0;0;4;0;2;0;0;0;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;1;1;1;4;4;2;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;17;3;2;2;2;1;2;2;0;3;1;0;2;0;2;1;1;0;0;0;0;1;0;0;0;1;3;15;0;0;0;11;0;2;2;2;1;1;0;0;0;0;3;2;1;0;0;2;0;0;0;0;0;4;0;1;2;1;2;0;2;2;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;1;0;0;0;0;1;0
31084-4605;SUCESSO;0;14;1;0;0;0;0;0;0;0;0;1;0;7;0;4;1;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;3;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;6;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
31090-4605;SUCESSO;1;46;1;0;9;5;0;0;0;0;0;0;0;12;8;3;2;0;0;0;0;0;0;0;0;0;0;0;17;2;2;7;4;0;0;1;1;0;1;1;0;5;5;2;0;0;16;8;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;10;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;32;3;3;2;0;15;1;0;5;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;18;9;5;8;2;0;3;3;2;1
31095-4605;insucesso;0;22;1;0;2;0;0;0;1;0;0;0;0;8;0;4;1;1;1;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;6;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;22;4;2;0;0;1;0;0;0;7;2;0;4;0;2;2;2;0;0;1;0;3;2;0;0;0;1;15;1;1;1;9;2;3;1;0;0;0;0;2;1;0;1;0;0;1;0;0;0;1;0;0;0;13;0;0;1;1;5;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0
31095-7274;insucesso;0;13;1;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;5;1;0;0;0;2;1;1;0;3;1;0;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;8;1;0;1;4;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31105-4604;SUCESSO;0;16;0;0;1;1;0;0;0;0;0;2;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;6;2;0;0;5;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;3;3;0;8;0;1;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;1;0;4;3;2;2;1;1;0;0;0;0;1;0;0;1;0;0;1
31106-4130;SUCESSO;0;13;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;2;1;0;0;0;0;0;1;1;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;3;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;18;0;2;1;1;4;0;0;3;2;0;0;0;0;10;0;0;1;4;2;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0
31134-4130;SUCESSO;1;25;9;2;5;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;1;0;0;7;0;0;3;1;0;0;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;9;1;0;0;5;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;2;1;0;0;12;3;1;0;0;6;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1
31147-4605;SUCESSO;0;24;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;2;0;0;0;0;0;0;1;1;1;2;2;0;1;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;16;0;0;0;0;0;0;0;1;7;0;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;1;7;0;3;2;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;31;0;1;2;1;8;1;2;3;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;3;0;0;2;2;0;0
31155-5469;SUCESSO;0;14;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;2;3;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
31161-4605;SUCESSO;0;43;9;2;7;2;2;0;0;0;0;0;0;17;3;9;5;1;1;1;1;1;0;0;0;0;0;0;5;1;0;1;0;2;2;5;0;0;2;2;2;1;1;1;0;0;16;2;0;1;0;5;0;0;0;1;1;0;1;0;1;1;0;1;26;9;2;2;2;1;0;0;1;6;0;0;3;0;3;2;1;0;0;0;0;1;1;0;0;1;2;27;4;2;0;15;7;3;2;2;1;0;0;1;1;1;1;1;0;1;0;0;0;3;1;1;0;28;0;1;1;1;10;0;1;3;1;0;1;0;0;5;2;1;1;1;0;2;1;2;1;1;0;0;6;1;0;11;6;1;0;0;2;3
31167-4130;SUCESSO;0;30;0;0;6;1;0;0;1;0;1;0;0;4;0;3;0;1;0;0;0;0;0;0;0;0;0;0;6;1;0;3;1;0;0;0;0;0;1;1;1;4;4;0;0;1;14;2;0;0;1;1;0;0;0;1;0;0;3;0;0;0;0;0;30;4;2;1;1;0;1;1;2;11;2;2;5;1;4;1;0;0;0;2;0;5;3;1;0;2;0;22;1;0;0;16;0;7;4;4;1;0;0;2;1;2;0;1;1;1;0;0;0;2;1;1;0;30;0;3;1;0;11;1;0;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;13;5;2;7;1;2;3;3;0;0
31168-4604;insucesso;0;19;1;0;4;0;1;0;0;0;0;0;0;3;0;1;0;1;1;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;9;0;0;6;0;5;5;3;0;0;0;0;0;0;0;0;0;0;10;1;0;0;3;0;3;3;3;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;18;0;0;0;0;3;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;8;3;1;4;0;0;2;2;0;0
31173-4604;SUCESSO;0;24;2;1;5;0;0;0;0;0;1;1;0;7;0;4;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;2;1;0;0;2;1;0;1;1;0;0;0;0;0;0;11;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10;2;0;1;0;0;0;0;0;6;2;0;2;1;1;0;0;0;0;0;1;0;0;0;0;1;1;14;0;0;1;8;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;17;1;1;3;2;4;1;1;2;1;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;3;3;1;0;0;5;0;0;3;3;0;0
31179-4605;SUCESSO;0;30;1;0;3;0;0;0;0;0;1;0;0;9;0;4;1;2;0;0;0;0;0;0;0;1;0;0;7;1;1;1;1;2;1;1;1;0;1;1;1;0;0;0;0;0;12;1;0;1;0;0;0;0;0;2;1;0;4;0;0;0;0;0;10;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;18;0;0;3;10;1;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;16;0;4;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;3;1;0;0;0;2;0;0;2;1;0;1
31187-4605;SUCESSO;0;13;0;0;1;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;1;1;1;2;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0
31218-4604;insucesso;0;22;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;3;1;1;0;8;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;9;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;1;0;0;20;1;1;0;0;6;0;0;1;0;0;0;2;0;15;2;3;2;6;0;1;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1
31221-4605;SUCESSO;0;27;2;1;4;0;1;0;2;2;1;0;0;5;0;3;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;1;0;3;1;2;0;0;1;1;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;2;2;1;2;0;0;1;0;1;14;0;0;0;0;0;0;0;0;3;0;0;2;0;1;0;0;0;0;1;0;2;2;0;0;0;2;15;0;0;0;9;0;3;2;1;0;0;0;1;1;0;1;1;0;2;0;1;0;1;1;1;0;13;0;0;1;0;4;0;1;2;1;0;0;0;0;11;1;0;1;4;2;3;3;1;1;0;0;0;19;6;2;2;0;0;0;0;2;0
31233-4605;SUCESSO;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31234-4605;SUCESSO;0;39;2;0;6;0;1;0;4;2;0;1;1;6;0;2;0;0;0;0;0;0;0;1;0;6;0;0;15;0;0;5;3;1;1;1;0;0;1;1;1;0;0;0;0;0;9;2;1;0;0;2;1;0;0;5;2;1;0;0;4;2;0;2;13;2;0;0;0;1;0;0;0;6;1;0;4;1;1;0;0;0;0;1;1;2;0;0;0;0;1;23;4;3;0;10;1;4;3;1;0;0;0;0;0;0;0;0;0;3;2;1;0;9;6;4;2;29;4;1;3;0;10;0;2;5;2;0;1;0;0;5;0;4;0;1;0;2;1;1;0;0;2;2;1;0;0;6;3;0;2;2;1;3
31239-7118;SUCESSO;0;27;2;0;2;1;0;0;0;0;1;0;0;16;0;11;1;8;5;5;3;0;0;2;0;0;0;0;3;0;0;1;0;2;2;1;1;0;1;1;1;4;4;1;0;0;4;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;23;5;1;1;0;1;0;0;1;12;2;0;6;1;6;3;3;2;2;0;0;0;0;0;0;2;0;19;0;0;0;17;2;10;6;6;3;3;2;0;0;1;0;0;0;2;1;0;0;0;0;0;0;6;0;2;2;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;3;1;2;2;2;0;0;0;2;0;0;2;2;0;0
31273-4605;insucesso;1;35;2;0;7;0;1;0;0;0;1;0;0;7;0;3;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;3;1;0;0;1;0;0;1;1;1;2;2;0;0;0;19;1;1;0;0;2;0;0;0;2;0;0;1;0;1;0;0;0;19;1;0;1;0;0;0;0;0;6;1;0;2;0;2;2;1;0;0;1;0;3;1;0;0;0;0;24;1;0;2;12;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;24;0;3;0;0;8;0;0;2;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;2;2;5;1;0;5;1;0;2;2;1;0
31273-5388;SUCESSO;1;23;3;0;3;0;0;0;1;1;0;0;0;8;0;6;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;4;2;0;0;0;0;1;1;0;0;0;8;0;0;0;0;2;0;0;0;2;2;1;0;0;0;0;0;0;20;1;0;0;0;1;0;0;2;6;0;2;2;0;2;2;1;1;1;1;0;3;1;1;0;1;0;19;0;0;1;13;0;5;2;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;5;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;5;0;1;2;2;0;0
31283-4605;SUCESSO;0;40;1;1;3;1;0;0;0;0;0;0;0;7;1;5;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;2;2;0;0;1;1;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;10;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;3;1;0;0;0;0;0;0;0;9;1;1;0;1;0;3;3;3;3;0;0;0;10;1;0;2;0;0;0;0;2;0
